tag,weight,count,ret,vola,mdv,category
rait,-0.00319294175970823,1069,-0.00408421428571429,1.17148359971163,79842428.9885387,
balanc,-0.00109365678409487,49034,-1.7268331248692,.,.,
upset,-0.00335836577181208,4273,-0.549106543624161,.,.,
scene,-0.00475385234899329,1767,-0.385912,.,.,
accrual,-0.00550881526528062,1645,-0.006435,1.24941548564754,107725774.862685,
durat,-0.00234170632530121,5777,-0.722145783132531,.,.,
accus,-0.00204517180094786,12184,-1.0784859443128,.,.,
behaviour,-0.00900079545454546,1002,-0.396035,.,.,
motorcycl,-0.00471129106035907,2410,-0.00434654878048781,1.02741994018981,9819187381.08861,
pacemak,-0.00466520940998989,2012,-0.00384195906432748,1.01741780766646,278255249.06601,
steelcas,-0.00331110783451203,2437,-0.00269827027027027,1.07912293918535,33128650.5476982,
cirio,-0.00532048185160238,1497,-0.00607683720930233,0.593214459827841,97827065.0116279,
discretionari,-0.0056950806999663,1908,-0.00542262280701755,1.09862963713316,395896806.788842,
cultur,-0.0034181179941003,5166,-0.580231876106195,.,.,
deferr,-0.00690265091823619,1900,-0.006773725,1.10237217058196,424580928.73396,
pre-open,-0.00332350840983028,11105,-0.00559006432748538,1.35046173491794,496935736.460459,
attach,-0.00567615517241379,789,-0.391323344827586,.,.,
chief,-0.00329690084985836,3154,-0.643536254957507,.,.,
visual,-0.035190263855292,20,-0.0152543333333333,0.433481641287533,788531546.666667,
reluct,-0.00751865151515151,1080,-0.496231,.,.,
address,-0.00130122207327972,24409,-1.18843756210903,.,.,
apprais,-0.00326644475138121,4426,-0.589942715469613,.,.,
sick,-0.0059924953271028,871,-0.317735364485981,.,.,
moscow,-0.0353334762168422,61,-0.055513,1.19060337381839,359926543.445,
fell,-0.0612522556087796,17,-0.040767,0.665559163410737,48184000,
avoid,-0.0015396687383468,23585,-1.23649025357365,.,.,
metrolog,-0.00303956488104752,2705,-0.00522008571428571,1.41525277645076,11323926.8132653,
shinhan,-0.00629212239151075,1762,-0.00628530927835051,1.11921909448447,769550577.740925,
rebuild,-0.00291249134199134,5208,-0.671143645021645,.,.,
non-profit,-0.00655427762494509,830,-0.00653473626373626,1.04703533630755,683853431.919129,
hell,-0.0110045,371,-0.352144,.,.,
rollout,-0.00295767322121092,6208,-0.00296048898678414,1.08377929918352,1836096524.21038,
defend,-0.00125516374501992,36156,-1.17333705059761,.,.,
tepid,-0.00401315534233074,5335,-0.00404652479338843,1.15629480599911,1401511500.20247,
seem,-0.00250601735015773,10667,-0.771635626182965,.,.,
rate-cut,-0.0443250774690744,88,-0.026217,0.591471047474008,97923280,
lymphoma,-0.00370767536863567,2474,-0.00450214982578397,1.20279288029283,116977440.81595,
bonds-spread,-0.00190247056814591,20080,-0.0020058894977169,0.57388014356491,367333742.213891,
rebat,-0.00349766894664477,5572,-0.00371378753541077,1.14524791047829,3895427512.02637,
realist,-0.00630175247524752,2969,-0.636477,.,.,
cambridg,-0.00459550246248074,2407,-0.00514226530612245,1.22475242073313,2011945695.75467,
democraci,-0.00991570731707317,563,-0.406544,.,.,
spurn,-0.00410447720746676,4782,-0.00495462151394422,1.18550121637319,757025267.703815,
rotat,-0.00767171014492754,771,-0.529348,.,.,
imposs,-0.00738296,1777,-0.553722,.,.,
compound,-0.0455803379975495,62,-0.0329885,0.723744084604496,129927217.21,
laugh,-0.00755309210526316,1071,-0.277263657894737,.,.,
bite,-0.00205724570273003,13233,-1.44031730232558,.,.,
reign,-0.00618135454545455,1520,-0.275580809090909,.,.,
bulldog,-0.0461160304582018,18,-0.030858,0.669138251783591,84824010,
soldier,-0.00561191304347829,1115,-0.377351130434783,.,.,
headwind,-0.0220098782280289,230,-0.0111088888888889,1.16370661358413,334698131.233333,
mortgage-back,-0.00513384827343167,3444,-0.00763320467836258,1.38335589647853,3146032361.57436,
squeez,-0.00263186363003276,11792,-0.00323669701726845,0.57725861231731,2411274512.1453,
roughli,-0.00343108157894737,8997,-1.00133507894737,.,.,
otherwis,-0.00869669491525424,1438,-0.513105,.,.,
sooner,-0.0272737912202478,130,-0.016146,0.950953665896368,141703470.628,
comvers,-0.00279964810642497,6373,-0.00328587456445993,1.20655308553632,68648963.5957044,
overhil,-0.0202111691200315,663,-0.0352343636363636,0.950897184003326,88313593.4763636,
abbei,-0.00171685073627844,43319,-2.30916173627845,.,.,
thunder,-0.00480371364531561,3813,-0.00372234010152284,1.02196714048488,393805968.463672,
haverti,-0.0043692645536096,2430,-0.00448659200000001,1.16646682432699,188961214.653952,
boardroom,-0.00569382252209859,2365,-0.00353060416666666,1.08636465939232,1944722325.51945,
sector,-0.00471598095238095,3241,-0.499552057142858,.,.,
copyright,-0.00282240034364262,7764,-0.860132041237113,.,.,
oklahoma,-0.0240466099844677,52,-0.014635625,0.981251884399779,59240862.305,
street,-0.00297326752767528,7547,-0.973949955719557,.,.,
forward,-0.00819866666666667,1419,-0.565708,.,.,
croda,-0.0305948464538965,30,-0.0161372,0.928938546835644,153470689.333333,
cancel,-0.00130077947987175,47949,-1.64345808621305,.,.,
mandatori,-0.00331044827586207,7958,-0.693035733333333,.,.,
scrape,-0.00530049404761904,3072,-0.890482999999999,.,.,
dwindl,-0.00741093779066551,1402,-0.00776555172413793,1.13591008208445,1983187536.57472,
similar,-0.00210998431734317,20641,-1.66567576199262,.,.,
origin,-0.00138491943858125,41997,-0.00165237954186413,1.20727105881834,935613171.698331,
stagger,-0.00930805454545455,645,-0.511943,.,.,
fundament,-0.00299613253087885,10108,-0.0033788487544484,1.19096971439885,1379996357.53416,
taint,-0.00583729309074074,1536,-0.00527323076923078,1.01923401849666,252991014.81,
metri,-0.00483260195193382,2422,-0.00368313333333334,0.824427080400195,4758597842.03173,
contamin,-0.00516902610110956,1997,-0.00472628342245989,1.00576724136311,173084808.833475,
clip,-0.00427638806002272,4174,-0.00375413793103448,1.04505823246357,1285888946.26814,
sophist,-0.00955440740740741,289,-0.515938,.,.,
invis,-0.00422049645390071,3229,-0.513681489361702,.,.,
modifi,-0.00238998320268757,10276,-1.0978498656215,.,.,
boiler,-0.0051089,1842,-0.531680121052632,.,.,
aa-,-0.00914862130104661,1820,-0.006571,1.02805039283557,2093706416.00806,
roadwai,-0.00495172492180564,1960,-0.00425664734299516,1.12994361320435,739686100.049318,
damag,-0.00109806462821404,56887,-2.50544736970118,.,.,
crush,-0.00573695804195804,1900,-0.354441195804196,.,.,
yr-on-yr,-0.00712376967979436,2062,-0.00718154455445545,1.15404232553001,1863524481.3667,
poverti,-0.00859092647058823,684,-0.304201176470588,.,.,
sting,-0.00619476913467912,2490,-0.005693,1.0783894274162,737649874.017525,
forecast,-0.000358082631743065,796031,-2.92802188429165,.,.,
subordin,-0.0017365015857276,15656,-0.00191365131226567,1.15431101734045,989075161.958302,
render,-0.00843022368421053,613,-0.312408013157895,.,.,
fewer,-0.00257835365853658,11488,-1.0444466,.,.,
slam,-0.00266094683319698,17647,-0.00372324197530863,1.15156117058847,1135173269.37667,
whip,-0.0107846382978723,529,-0.506878,.,.,
intensifi,-0.00361461630695444,7612,-0.719532609112711,.,.,
sentinel,-0.0114941340769034,634,-0.00751918604651163,1.04539651646759,7392801340.92367,
variat,-0.0134557096774193,183,-0.417127,.,.,
appreci,-0.00519829493087558,3391,-0.535727225806453,.,.,
citi,-0.00503354385964912,8969,-0.568857912280702,.,.,
covad,-0.0436850513965367,17,-0.0318613333333333,1.45613286378473,16942934.5,
decept,-0.00722795175994631,1311,-0.00530191818181815,1.14366707104288,1022724064.51619,
wane,-0.00367670164788348,8481,-0.00416481093394078,1.17450020995435,1030359404.66309,
medifast,-0.0381619775744189,11,-0.038571,1.01071806157801,3078975.5,
hack,-0.00619098960314961,1161,-0.00492934615384615,1.04777786140099,1763599607.86535,
outgo,-0.0058686477352204,3062,-0.00356056830601093,1.09709822614765,231003311.81155,
predecessor,-0.0117463023255814,665,-0.505091,.,.,
shouldn't,-0.00486527695395516,4073,-0.00534629644268774,1.08536318030219,283000527.053512,
greatli,-0.0136894375,949,-0.438062,.,.,
individu,-0.00271841756919374,10972,-1.04296466305656,.,.,
nasti,-0.0117021818181818,96,-0.514896,.,.,
complaint,-0.00158466911764706,27997,-2.27566828431373,.,.,
two-third,-0.00697646633959005,2412,-0.00745884920634921,1.13733522201487,628571061.76531,
painter,-0.0140423548387097,155,-0.435313,.,.,
visibl,-0.00457291245791246,2848,-0.67175397979798,.,.,
mood,-0.00312905637503251,13054,-0.00335069923664121,1.23581463131036,3982026455.53244,
finish,-0.00160736610032362,37699,-2.59491293932038,.,.,
savvi,-0.00220105586391345,12772,-0.00265524324324324,1.33718194771634,701551759.080619,
underwritten,-0.00639432269657336,3037,-0.00745306875000001,1.24836356441721,88014719.1452021,
copter,-0.0073790603539575,1748,-0.0046679512195122,0.852463181230124,647660702.51998,
italenergia,-0.00558713913268065,3788,-0.00426156796116505,0.47393925504829,14961130.7843932,
legisl,-0.00324694660194175,9506,-1.00478798543689,.,.,
pitch,-0.0035910694980695,7782,-1.16859968339768,.,.,
orthovita,-0.0132862409582598,1001,-0.0146535945945946,1.20293318818215,18829163.9870882,
galvu,-0.00576164705992511,3045,-0.004479685,1.02442100304063,173014593.852119,
overlook,-0.00961148611111111,566,-0.692027,.,.,
caught,-0.00665319403103366,2314,-0.00559473125000001,1.13889850132126,2208999716.40244,
rebrand,-0.00722402909624935,1919,-0.00635455474452555,1.07919910801521,855601298.003198,
m-system,-0.00601645947498537,1476,-0.00747154271356784,1.58257903102096,268236096.289533,
major,-0.0128890714285714,789,-0.541341,.,.,
judici,-0.0113742037037037,1411,-0.614207,.,.,
restructur,-0.000926545674863245,182144,-0.00106999619997625,1.20035871263068,883177532.066719,
leapfrog,-0.00481131444690759,2180,-0.00575166987179488,1.18899121167822,166062005.61217,
pullout,-0.00894301953174281,3486,-0.0101387549019608,1.21700080277356,1279897296.3513,
precaut,-0.0151029677419355,472,-0.468192,.,.,
competit,-0.00104915988372093,102087,-4.07956502096084,.,.,
absorb,-0.00485394230769231,5496,-1.00200541025641,.,.,
asid,-0.00445185263157894,6582,-1.12275187368421,.,.,
minim,-0.00365702826855123,7564,-1.08036123674912,.,.,
successor,-0.00251408016877637,12779,-1.24176661012658,.,.,
shelter,-0.00671096349430441,3202,-0.00616809146341463,1.10756474567916,1739830832.03155,
turbul,-0.00455977537252474,8428,-0.00525658988764045,1.23638996355505,4251961235.15144,
certainti,-0.00801377391304348,3088,-0.921584000000001,.,.,
shrink,-0.00254064157399487,17754,-2.32517246963216,.,.,
gloomi,-0.00545923471903294,4256,-0.00656888212927757,1.27537370751538,2984519708.59636,
altana,-0.0388390134190323,150,-0.0253685,0.973209512914963,281067896.29,
full-tim,-0.00647416304347825,3089,-0.557209282608696,.,.,
mistak,-0.00628032596685083,3009,-0.569861292817679,.,.,
low-end,-0.00637584021081638,3137,-0.00537891282051282,1.08305081488539,1341352616.51667,
deepli,-0.013956625,1150,-0.558265,.,.,
dril-quip,-0.00580150717729351,1287,-0.00612735317460316,1.30057119945375,182148550.008065,
temporarili,-0.00382526889279438,7543,-1.16007807205624,.,.,
worst,-0.00289639186055267,22415,-0.00293056159068865,1.21100745559111,3304752594.20628,
sorri,-0.00964041573033708,824,-0.556295460674157,.,.,
damper,-0.0233621667849428,346,-0.0191511333333333,1.0555608747214,1968961638.93,
chavez,-0.00405866440277796,7720,-0.00421809845559846,1.03094491596043,824270595.634251,
earth,-0.0918982660673075,19,-0.047619,0.518170821254922,12049740,
bauer,-0.0375757832409172,58,-0.0288218333333333,1.34254784715461,82266621.115,
orthopaed,-0.00847655041522529,1446,-0.00785712605042018,1.01502598475291,838964124.643648,
inventor,-0.0926767613169281,1,-0.064463,0.695568113127679,2686886.9,
career,-0.00249976439198726,15844,-0.00318204996481352,1.32275866130595,161251605.115762,
second-half,-0.00911704884945896,2271,-0.011992179245283,1.24677444626171,1446579866.11934,
tuesday,-0.0933036002746329,12,-0.055196,0.591574171173827,4693000,
jurisdict,-0.00985725274725275,1048,-0.341884967032967,.,.,
confess,-0.0159566,384,-0.558481,.,.,
accid,-0.00461457647058824,4838,-1.0203666,.,.,
runwai,-0.00660659817817338,3224,-0.00586235981308411,1.12391933955679,123175537.844781,
medicin,-0.0023001568287037,15402,-2.01927782060185,.,.,
clarifi,-0.00368568934911243,9462,-1.1927945443787,.,.,
magistr,-0.0137630208333333,851,-0.660625,.,.,
temper,-0.00464833723653396,11487,-1.02831442622951,.,.,
inappropri,-0.00918849618320612,2643,-0.612269,.,.,
temporari,-0.00353198431372549,10923,-1.41954447712418,.,.,
preview,-0.0958629057211246,7,-0.058252,0.607659444096774,56677205.73,
hasn't,-0.0036621513038224,11690,-0.00406056920903955,1.24167983646633,1034362915.69546,
resal,-0.00577588145176808,2075,-0.00610522887323942,1.22488747872417,153021747.901404,
incid,-0.00446558369098712,5351,-1.10311520600858,.,.,
shadow,-0.00580319762561687,5509,-0.00723464184397164,1.04521553383798,4986766202.35772,
civil,-0.0032245597416577,12251,-1.65584051883746,.,.,
expos,-0.00505813994910941,5911,-0.982568760814249,.,.,
write-down,-0.00321789818627572,33514,-0.0039671974656811,1.33101185509468,820182329.996472,
router,-0.00486718742805962,2561,-0.00631997073170732,1.23585342670752,1500214580.26322,
graviti,-0.00944447272727271,544,-0.643498381818182,.,.,
significant,-0.0083594231252602,3340,-0.00978392307692308,1.29916632944969,364984191.410204,
slowli,-0.00642922314049587,3298,-0.728341090909091,.,.,
tandem,-0.00784892918014222,1735,-0.00526024374999999,1.18784562904606,2737571411.54279,
disturb,-0.0168528285714286,510,-0.589849,.,.,
endeavour,-0.100152166691086,4,-0.070397,0.702900419689731,2314410,
liquid,-0.100818832816331,57,-0.062959,0.624476580825895,312589750,
devast,-0.0106209244265149,1686,-0.0107401368421052,1.22700903518897,1223041486.52876,
prowl,-0.00957475627796647,1215,-0.00729287610619469,1.02213446281649,444225017.636191,
bottom,-0.00316800294117647,13795,-1.36292964705882,.,.,
seven-week,-0.0142167303539186,1766,-0.0118924731182796,0.557675021950533,7272374558.07419,
